Key,English,Vietnamese
Setting.Title,Game Setting,Cài đặt
Setting.SFX,SFX:,Hiệu ứng:
Setting.Music,Music:,Âm thanh:
Setting.VOLUME,VOLUME,ÂM LƯỢNG
Setting.LANGUAGE,LANGUAGE,NGÔN NGỮ
Setting.English,English,Tiếng anh
Setting.Vietnamese,Vietnamese,Tiếng việt
Guide.Title,Game Guide,Hướng dẫn
Guide.w.action,Move up,Di chuyển lên trên
Guide.a.action,Move left,Di chuyển sang trái
Guide.s.action,Move down,Di chuyển xuống dưới
Guide.d.action,Move right,Di chuyển sang phảii
Guide.i.action,Open inventory,Mở kho hàng
Guide.z.action,Start conversation,Bắt đầu hội thoại
Guide.space.action,Switch to next dialog,Chuyển đến hộp thoại kế
Guide.Space,Space,Phím cách
Guide.move,------MOVE------,------DI CHUYỂN------
Guide.extention,------EXTENSION------,------MỞ RỘNG------
Guide.conversation,------CONVERSATION------,------HỘI THOẠI------
Pause.Title,Pause,Tạm Dừng
Congratulation,Congratulation,Chức mừng
Setting.VeryLow,Very Low,Cực thấp
Setting.Low,Low,Thấp
Setting.Medium,Medium,Trung bình
Setting.High,High,Cao
Setting.VeryHigh,Very High,Rất cao
Setting.Ultra,Ultra,Cực kì cao
Loading,Loading,Đang tải
Me,Me,Tôi
Setting.Dialogue,Dialogue:,Hội thoại:
Congratulation.Reward,Congratulations on receiving your reward.,Chức mừng bạn nhận được phần thưởng.
Agree,Agree,Đồng ý
Reward,Reward,Phần thưởng
Receive,Receive,Nhận
Use,Use,Dùng
Drop,Drop,Bán
Task.Accept,(OR Space to accept),(Hoặc Space để nhận nhiệm vụ)
Task.Done,"(Nhiệm vụ đã hoàn thành, mau chóng đi tìm già làng để nhận thưởng và nhận nhiệm vụ tiếp theo)","(The mission has been completed, quickly go find the village elder to receive the reward and receive the next mission)"
Task.Countinue,(OR Space to countinue),(Hoặc Space để tiếp tục)
